Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
61,148,7,2017-05-19,2017-08-06
61,2090,7,2017-05-19,2017-08-06
92,6084,7,2017-06-12,2017-09-03
137,9991,6,2017-09-21,2017-12-01
139,8529,7,2017-09-28,2017-11-17
148,5330,6,2017-06-15,2017-09-20
191,1715,8,2017-05-22,2017-07-12
191,2345,6,2017-06-15,2017-07-12
191,5522,8,2017-05-22,2017-07-12
191,7209,8,2017-05-22,2017-07-12
203,525,6,2017-06-11,2017-07-31
211,5737,7,2017-05-02,2017-06-18
218,10206,6,2017-07-09,2017-09-04
258,8519,8,2017-06-10,2017-07-30
281,4249,6,2017-05-29,2017-06-24
288,1678,9,2017-06-24,2017-09-25
291,3622,6,2017-05-22,2017-09-23
335,11067,6,2017-07-16,2017-10-15
366,9744,6,2017-06-27,2017-08-08
382,3064,7,2017-06-15,2017-08-08
391,11243,6,2017-07-08,2017-09-09
435,10478,7,2017-08-08,2017-09-16
479,3090,7,2017-06-26,2017-08-07
479,9386,6,2017-07-17,2017-08-11
484,2345,6,2017-05-19,2017-07-11
484,6560,6,2017-05-19,2017-07-11
486,6030,8,2017-06-26,2017-10-08
497,2345,6,2017-05-19,2017-07-11
497,2841,6,2017-05-19,2017-07-11
529,7001,6,2017-05-07,2017-05-29
556,11275,7,2017-07-01,2017-08-19
582,11948,7,2017-07-24,2017-11-08
613,3292,7,2017-07-12,2017-09-15
620,8644,7,2017-07-02,2017-08-20
624,2030,7,2017-05-15,2017-10-12
628,12841,6,2017-10-31,2017-11-21
736,2117,6,2017-07-13,2017-07-29
848,7696,7,2017-05-20,2017-06-29
855,10576,7,2017-07-17,2017-11-23
855,10616,7,2017-07-17,2017-11-23
855,10833,7,2017-07-07,2017-08-07
855,10899,10,2017-07-01,2017-11-23
888,4689,6,2017-05-24,2017-07-18
926,13623,6,2017-10-22,2017-11-21
1024,4514,6,2017-07-03,2017-08-19
1024,8595,6,2017-07-03,2017-08-19
1041,1064,6,2017-07-13,2017-07-29
1041,7098,6,2017-07-13,2017-07-29
1042,1343,6,2017-05-01,2017-05-27
1074,3309,7,2017-08-02,2017-10-09
1079,9369,6,2017-07-21,2017-09-08
1097,3367,6,2017-05-01,2017-07-23
1138,6548,6,2017-07-13,2017-08-07
1138,6987,6,2017-07-13,2017-08-07
1191,9790,6,2017-07-03,2017-08-08
1208,3418,6,2017-05-06,2017-06-05
1208,8190,6,2017-05-06,2017-06-05
1218,9063,6,2017-07-23,2017-09-03
1246,6783,7,2017-06-06,2017-07-28
1246,9063,7,2017-06-24,2017-08-18
1254,3367,6,2017-05-01,2017-07-23
1321,10271,6,2017-06-28,2017-09-21
1342,10271,6,2017-06-28,2017-09-21
1343,6783,7,2017-06-24,2017-08-01
1343,8445,8,2017-07-02,2017-09-16
1343,9997,6,2017-05-20,2017-07-04
1352,9294,7,2017-08-01,2017-09-19
1389,2857,7,2017-06-05,2017-07-17
1410,10130,6,2017-08-11,2017-09-10
1429,7002,6,2017-07-11,2017-08-15
1434,10722,6,2017-06-24,2017-07-27
1449,7693,6,2017-07-30,2017-09-09
1449,12113,6,2017-09-05,2017-10-17
1464,10975,8,2017-07-02,2017-09-03
1475,9282,6,2017-07-17,2017-10-08
1475,10576,6,2017-06-28,2017-08-07
1490,8867,6,2017-06-27,2017-07-23
1505,8584,6,2017-06-10,2017-08-07
1526,7800,6,2017-08-27,2017-11-27
1613,8007,7,2017-05-01,2017-06-11
1617,7983,6,2017-07-16,2017-09-08
1620,2508,6,2017-07-19,2017-09-08
1637,2012,7,2017-05-19,2017-07-21
1637,2345,6,2017-05-19,2017-07-11
1637,2945,6,2017-05-19,2017-07-11
1673,10024,6,2017-07-21,2017-09-04
1673,10089,6,2017-07-21,2017-09-04
1673,10095,6,2017-07-21,2017-09-04
1677,2926,6,2017-05-06,2017-06-18
1678,2097,11,2017-06-24,2017-09-25
1715,4202,6,2017-05-24,2017-07-11
1715,5522,9,2017-05-22,2017-07-18
1723,2251,6,2017-10-25,2017-12-01
1723,8258,6,2017-10-25,2017-12-01
1723,9856,6,2017-10-25,2017-12-01
1747,6208,6,2017-07-21,2017-09-04
1753,5240,7,2017-08-02,2017-11-14
1769,9068,7,2017-05-15,2017-07-23
1849,4034,8,2017-05-18,2017-07-11
1849,4202,6,2017-05-24,2017-07-11
1849,7209,8,2017-05-18,2017-07-11
1849,7560,7,2017-05-22,2017-07-11
1860,11280,6,2017-07-21,2017-09-04
1904,7138,6,2017-07-08,2017-08-26
1927,2097,6,2017-07-01,2017-08-01
1955,8427,6,2017-06-30,2017-09-03
1966,3299,6,2017-07-19,2017-09-22
1966,8030,6,2017-07-24,2017-08-29
1972,7376,6,2017-08-15,2017-11-18
1982,5383,6,2017-05-18,2017-09-05
2024,2841,6,2017-05-19,2017-07-11
2024,6729,6,2017-06-15,2017-07-12
2024,8729,7,2017-05-19,2017-07-12
2054,9385,6,2017-07-21,2017-09-08
2068,3153,6,2017-06-06,2017-06-24
2068,5668,6,2017-06-06,2017-06-24
2068,6805,6,2017-06-06,2017-06-24
2068,7505,6,2017-06-06,2017-06-24
2068,10325,6,2017-06-06,2017-06-24
2068,10509,7,2017-06-28,2017-09-25
2090,3002,6,2017-05-19,2017-07-11
2090,3028,6,2017-05-19,2017-07-11
2090,3187,6,2017-05-19,2017-07-11
2112,6293,6,2017-09-24,2017-11-27
2117,7076,6,2017-07-13,2017-07-29
2117,7098,6,2017-07-13,2017-07-29
2185,7737,6,2017-07-03,2017-08-19
2185,8149,6,2017-05-15,2017-07-28
2231,7898,7,2017-05-22,2017-07-11
2251,9856,6,2017-10-25,2017-12-01
2262,3573,6,2017-06-22,2017-08-15
2336,9645,6,2017-05-24,2017-07-11
2345,7209,6,2017-06-15,2017-07-12
2345,8729,7,2017-05-19,2017-07-12
2354,4774,8,2017-05-19,2017-07-18
2354,7209,7,2017-06-15,2017-07-18
2354,8729,7,2017-05-19,2017-07-12
2378,11274,6,2017-07-20,2017-09-25
2392,7418,7,2017-05-07,2017-07-27
2408,4450,6,2017-09-25,2017-11-29
2489,7579,6,2017-07-13,2017-07-29
2495,4650,6,2017-07-01,2017-08-04
2504,3658,6,2017-06-19,2017-10-12
2544,4170,6,2017-06-13,2017-07-23
2544,7747,6,2017-06-13,2017-07-23
2544,8519,7,2017-06-26,2017-07-30
2588,12338,6,2017-09-01,2017-11-21
2656,9598,6,2017-05-30,2017-10-08
2702,9177,7,2017-06-11,2017-09-26
2719,3466,7,2017-05-14,2017-08-25
2719,3820,6,2017-05-11,2017-05-27
2723,7001,6,2017-05-07,2017-05-29
2851,9828,6,2017-07-23,2017-10-03
2857,3590,7,2017-05-06,2017-06-24
2857,8158,6,2017-05-06,2017-06-24
2857,9410,6,2017-06-12,2017-07-17
2869,3298,6,2017-07-12,2017-09-28
2945,3028,6,2017-05-19,2017-07-11
2945,3187,6,2017-05-19,2017-07-11
2964,11211,7,2017-09-10,2017-11-27
2973,8775,7,2017-05-11,2017-06-25
2976,10206,6,2017-07-09,2017-09-04
3021,10576,6,2017-07-17,2017-08-11
3028,3187,6,2017-05-19,2017-07-11
3029,4496,7,2017-05-22,2017-07-21
3064,8262,6,2017-05-19,2017-07-11
3078,9271,9,2017-05-13,2017-09-21
3090,9522,9,2017-06-10,2017-10-08
3117,8679,6,2017-07-17,2017-09-11
3119,6365,7,2017-05-13,2017-10-08
3223,8257,10,2017-05-13,2017-08-17
3239,10654,6,2017-06-14,2017-09-28
3243,10536,6,2017-06-28,2017-07-29
3278,7039,6,2017-05-06,2017-06-11
3278,8961,6,2017-06-12,2017-09-18
3286,9069,6,2017-06-06,2017-06-24
3286,10325,6,2017-06-06,2017-06-24
3343,10740,7,2017-07-08,2017-08-29
3356,5544,6,2017-06-06,2017-06-24
3356,6805,10,2017-06-06,2017-09-25
3356,7810,8,2017-05-02,2017-06-24
3416,5056,6,2017-07-12,2017-07-30
3416,7162,6,2017-07-12,2017-08-09
3418,4850,6,2017-05-29,2017-06-24
3491,8007,6,2017-07-04,2017-11-16
3519,8197,7,2017-06-13,2017-08-30
3558,8045,6,2017-07-30,2017-10-23
3558,8590,7,2017-07-19,2017-10-23
3573,10334,7,2017-06-27,2017-11-23
3589,9223,6,2017-05-11,2017-07-12
3589,10819,6,2017-07-01,2017-07-23
3590,8961,7,2017-05-29,2017-10-04
3618,5522,6,2017-05-24,2017-07-11
3618,7209,6,2017-05-24,2017-07-11
3618,9066,6,2017-05-24,2017-07-11
3755,4502,6,2017-05-14,2017-09-18
3807,5356,6,2017-06-03,2017-09-24
3807,7520,6,2017-06-03,2017-09-24
3875,9653,6,2017-09-10,2017-11-14
3902,6372,6,2017-09-07,2017-11-19
4034,6668,6,2017-05-17,2017-06-20
4056,5016,6,2017-07-26,2017-09-22
4080,10440,6,2017-06-25,2017-07-31
4202,9645,6,2017-05-24,2017-07-11
4220,8823,6,2017-06-13,2017-08-23
4249,6447,10,2017-05-17,2017-08-07
4249,6707,7,2017-05-06,2017-06-24
4249,10325,6,2017-05-30,2017-08-07
4249,10352,7,2017-05-30,2017-08-07
4359,4591,6,2017-05-14,2017-07-04
4359,9997,8,2017-05-15,2017-07-04
4363,8363,6,2017-07-13,2017-08-09
4441,8363,6,2017-06-06,2017-06-25
4444,8024,7,2017-06-28,2017-09-09
4444,10465,6,2017-07-24,2017-09-09
4449,9619,8,2017-05-18,2017-08-13
4451,7898,7,2017-05-22,2017-07-11
4514,9063,6,2017-07-23,2017-09-03
4552,6089,9,2017-05-07,2017-09-08
4552,10325,6,2017-06-06,2017-06-24
4553,4852,7,2017-05-18,2017-08-26
4627,5490,6,2017-05-01,2017-05-30
4675,7950,6,2017-07-16,2017-09-04
4675,9421,6,2017-07-16,2017-09-04
4675,10089,6,2017-07-30,2017-09-10
4707,8595,7,2017-07-08,2017-09-03
4707,10975,7,2017-07-23,2017-09-09
4713,4737,6,2017-07-16,2017-09-04
4713,5116,7,2017-05-22,2017-09-04
4749,11275,6,2017-07-23,2017-10-07
4770,6857,6,2017-08-27,2017-11-27
4770,9974,6,2017-08-27,2017-11-27
4774,7209,7,2017-06-15,2017-07-18
4774,8262,7,2017-05-19,2017-07-12
4784,10382,6,2017-08-01,2017-09-25
4816,8871,7,2017-08-21,2017-10-18
4820,9699,6,2017-05-24,2017-07-11
4827,8368,6,2017-07-30,2017-09-10
4827,8684,6,2017-07-21,2017-09-04
4854,12881,6,2017-09-11,2017-11-08
4881,8014,6,2017-06-03,2017-07-12
4917,10015,6,2017-07-21,2017-09-04
4917,11280,6,2017-07-21,2017-09-04
5016,8194,7,2017-07-13,2017-08-09
5021,5096,6,2017-07-24,2017-10-25
5056,10819,6,2017-07-07,2017-07-26
5081,8584,6,2017-06-10,2017-07-23
5093,5277,6,2017-07-12,2017-08-24
5096,6777,7,2017-07-19,2017-08-29
5116,8368,6,2017-07-16,2017-09-04
5137,9532,6,2017-05-14,2017-08-19
5162,9725,6,2017-07-30,2017-10-11
5204,12328,6,2017-08-15,2017-11-20
5319,8642,6,2017-10-18,2017-11-24
5328,9053,6,2017-06-04,2017-08-19
5332,5869,6,2017-05-13,2017-07-30
5380,10585,6,2017-10-31,2017-11-21
5380,13731,7,2017-10-31,2017-11-24
5380,13781,7,2017-10-31,2017-11-24
5414,10812,6,2017-07-12,2017-11-14
5423,10368,6,2017-06-06,2017-06-25
5490,8037,7,2017-05-01,2017-06-05
5503,9700,6,2017-05-24,2017-07-11
5509,7872,6,2017-05-06,2017-06-06
5522,7209,9,2017-05-22,2017-07-18
5522,9699,6,2017-05-24,2017-07-11
5533,6113,6,2017-06-13,2017-07-23
5533,8679,7,2017-05-24,2017-07-23
5538,8234,6,2017-05-24,2017-07-21
5560,9517,6,2017-05-11,2017-11-06
5572,8824,7,2017-05-18,2017-08-17
5575,7834,6,2017-07-12,2017-09-16
5592,7508,6,2017-05-05,2017-10-06
5596,5787,7,2017-05-01,2017-09-01
5603,9676,6,2017-08-02,2017-09-19
5668,6805,6,2017-06-06,2017-06-24
5668,9410,8,2017-06-08,2017-07-17
5669,8399,6,2017-07-23,2017-10-20
5696,7076,8,2017-06-30,2017-08-08
5748,10095,6,2017-07-21,2017-09-04
5754,7060,6,2017-08-25,2017-11-27
5757,12244,6,2017-10-11,2017-12-01
5867,9769,6,2017-05-20,2017-07-05
5869,6523,8,2017-05-13,2017-08-27
5869,9987,6,2017-05-19,2017-08-27
5911,6294,6,2017-05-01,2017-08-01
5942,9704,6,2017-05-24,2017-08-08
6020,6418,6,2017-05-01,2017-05-30
6024,7809,6,2017-07-13,2017-09-21
6050,8563,7,2017-05-13,2017-08-19
6111,7902,6,2017-07-16,2017-09-08
6113,7747,8,2017-06-13,2017-08-07
6180,6529,6,2017-05-19,2017-07-23
6294,7820,7,2017-05-17,2017-11-23
6447,8679,6,2017-07-17,2017-09-11
6447,10644,6,2017-06-28,2017-08-07
6507,6523,6,2017-05-13,2017-07-30
6522,6548,7,2017-05-01,2017-08-07
6523,9083,6,2017-05-13,2017-09-08
6560,7209,7,2017-06-15,2017-07-18
6576,8642,6,2017-10-02,2017-11-24
6591,10461,6,2017-08-10,2017-11-10
6622,8983,6,2017-05-17,2017-06-20
6729,8729,6,2017-06-15,2017-07-12
6750,8158,6,2017-05-06,2017-06-11
6777,9761,6,2017-05-20,2017-07-04
6777,10716,6,2017-07-24,2017-08-29
6783,9063,6,2017-06-24,2017-07-28
6843,9696,6,2017-09-11,2017-11-08
6956,9068,6,2017-05-02,2017-06-28
7162,10128,6,2017-05-25,2017-07-12
7162,10819,8,2017-07-01,2017-07-29
7187,10596,6,2017-08-08,2017-09-25
7307,10809,6,2017-08-11,2017-09-28
7506,9704,8,2017-05-24,2017-11-12
7560,9645,6,2017-05-24,2017-07-11
7560,10702,7,2017-06-24,2017-08-15
7560,10767,7,2017-06-24,2017-08-15
7565,8045,6,2017-07-05,2017-10-16
7581,12276,6,2017-08-01,2017-09-22
7605,8190,6,2017-05-06,2017-06-05
7605,8411,6,2017-05-17,2017-06-12
7640,8105,6,2017-05-15,2017-06-14
7643,7810,7,2017-06-08,2017-10-08
7662,7872,6,2017-05-06,2017-06-06
7677,10083,6,2017-07-13,2017-08-07
7679,10017,7,2017-07-13,2017-08-11
7682,7844,6,2017-05-23,2017-08-15
7710,13620,6,2017-10-22,2017-12-01
7711,10701,6,2017-07-24,2017-09-19
7725,10435,6,2017-08-15,2017-10-27
7747,9522,11,2017-06-26,2017-11-15
7810,9030,6,2017-05-02,2017-10-23
7810,10325,6,2017-06-06,2017-06-24
