Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
23,11243,6,2017-07-08,2017-09-09
61,2945,6,2017-05-19,2017-07-11
61,3028,6,2017-05-19,2017-07-11
61,8262,6,2017-05-19,2017-07-11
75,3551,6,2017-07-24,2017-09-19
75,8644,6,2017-07-02,2017-08-12
75,11276,8,2017-06-24,2017-08-12
119,1133,6,2017-09-15,2017-11-08
148,2090,7,2017-05-19,2017-08-06
148,8729,6,2017-05-19,2017-07-11
167,10899,8,2017-07-01,2017-08-07
174,484,7,2017-05-19,2017-10-07
174,2345,6,2017-05-19,2017-07-11
174,2841,6,2017-05-19,2017-07-11
191,9066,7,2017-05-22,2017-07-11
191,9700,6,2017-05-24,2017-07-11
211,6084,9,2017-05-29,2017-07-13
218,620,6,2017-07-24,2017-09-18
241,2117,6,2017-07-13,2017-07-29
258,8562,6,2017-06-10,2017-07-23
258,9271,6,2017-06-10,2017-07-23
269,9383,6,2017-06-20,2017-09-12
281,398,6,2017-05-02,2017-06-24
281,1389,6,2017-05-02,2017-06-24
288,1343,11,2017-05-01,2017-08-01
288,1927,6,2017-07-01,2017-08-01
288,9063,6,2017-06-24,2017-07-28
288,9997,6,2017-05-20,2017-07-04
371,5530,7,2017-07-13,2017-09-15
382,7560,11,2017-05-22,2017-08-15
382,9645,6,2017-05-24,2017-07-11
419,7242,6,2017-05-17,2017-06-20
420,5690,6,2017-08-16,2017-11-16
429,4852,8,2017-06-01,2017-10-15
435,7832,7,2017-08-29,2017-10-19
479,8017,6,2017-07-17,2017-10-17
479,8562,7,2017-06-26,2017-08-07
484,3002,7,2017-05-19,2017-10-07
484,3187,6,2017-05-19,2017-07-11
484,4774,6,2017-05-19,2017-07-11
484,8729,6,2017-05-19,2017-07-11
497,3028,7,2017-05-19,2017-10-07
511,10539,7,2017-06-13,2017-09-21
525,10440,6,2017-06-25,2017-09-01
556,8165,6,2017-07-01,2017-08-18
613,9653,6,2017-07-26,2017-11-06
728,5016,6,2017-07-13,2017-07-30
736,1064,6,2017-07-13,2017-07-29
736,4217,6,2017-07-13,2017-07-29
760,8121,6,2017-05-07,2017-08-08
855,9376,6,2017-07-12,2017-08-07
859,1563,7,2017-08-02,2017-09-11
859,2171,6,2017-08-02,2017-09-10
859,10478,10,2017-08-08,2017-10-28
888,4580,6,2017-06-13,2017-10-19
908,6583,6,2017-05-13,2017-10-11
917,8212,6,2017-05-01,2017-10-28
932,4650,6,2017-06-24,2017-07-21
942,8595,6,2017-07-03,2017-08-19
993,2457,6,2017-07-02,2017-10-16
993,3528,6,2017-09-09,2017-10-16
993,3665,7,2017-08-24,2017-10-12
993,10365,7,2017-08-24,2017-10-12
