Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
61,2345,6,2017-05-19,2017-07-11
92,4444,6,2017-06-28,2017-09-03
148,2012,6,2017-05-19,2017-07-11
148,2024,6,2017-05-19,2017-07-11
148,8260,6,2017-05-19,2017-07-11
187,5096,6,2017-05-18,2017-07-14
210,9033,6,2017-09-16,2017-11-06
210,10591,7,2017-09-16,2017-11-07
211,3418,6,2017-05-29,2017-07-22
218,2976,7,2017-06-28,2017-09-04
258,3021,7,2017-05-17,2017-07-23
258,5081,6,2017-06-10,2017-07-23
348,5911,6,2017-08-01,2017-09-21
350,8988,7,2017-06-05,2017-09-28
382,10702,7,2017-06-24,2017-08-15
382,10764,7,2017-06-24,2017-08-15
391,7951,6,2017-07-08,2017-09-09
392,5503,6,2017-05-24,2017-07-11
398,1389,6,2017-05-02,2017-06-24
479,2544,6,2017-06-13,2017-07-23
479,6113,8,2017-06-13,2017-08-07
592,5812,6,2017-05-03,2017-07-01
628,5653,6,2017-07-16,2017-09-08
628,11450,6,2017-10-31,2017-11-21
760,9317,6,2017-05-30,2017-07-29
839,4606,6,2017-07-05,2017-10-17
870,5575,7,2017-05-06,2017-09-16
953,10465,7,2017-07-13,2017-09-09
1115,9294,7,2017-08-08,2017-10-15
1142,3597,6,2017-07-23,2017-10-25
1191,4732,7,2017-07-08,2017-09-19
1218,4707,7,2017-07-08,2017-09-03
1342,4092,6,2017-05-24,2017-07-23
1343,1678,8,2017-06-24,2017-08-06
1429,7327,6,2017-07-11,2017-08-15
1464,2185,6,2017-07-23,2017-09-03
1464,5459,6,2017-07-02,2017-08-19
1505,9386,6,2017-07-13,2017-08-07
1528,7271,6,2017-05-04,2017-09-20
1673,11225,6,2017-07-21,2017-09-04
1677,2625,6,2017-05-29,2017-11-09
1677,6813,8,2017-05-06,2017-06-18
1678,8579,7,2017-07-23,2017-09-25
1715,6560,7,2017-06-15,2017-07-18
1715,9066,7,2017-05-22,2017-07-11
1747,8684,7,2017-05-12,2017-09-04
1747,9359,7,2017-05-12,2017-09-04
1747,10024,6,2017-07-21,2017-09-04
1762,6024,6,2017-07-13,2017-09-21
1849,9700,6,2017-05-24,2017-07-11
1860,9127,6,2017-07-21,2017-09-04
1860,10095,7,2017-07-21,2017-09-10
1860,11225,7,2017-07-21,2017-09-10
1917,8048,7,2017-06-08,2017-09-21
1947,4129,6,2017-10-13,2017-11-21
1974,4031,7,2017-07-09,2017-11-28
1977,13620,6,2017-10-22,2017-12-01
2068,9858,6,2017-09-24,2017-10-25
2117,3432,6,2017-07-13,2017-07-29
2117,5696,6,2017-07-13,2017-07-29
2125,9505,6,2017-10-11,2017-11-07
2174,2489,6,2017-07-13,2017-07-29
2174,7076,6,2017-07-13,2017-07-29
2201,8596,10,2017-06-13,2017-09-19
2345,9645,6,2017-06-15,2017-07-12
2412,9232,6,2017-05-13,2017-08-30
2504,9755,6,2017-05-18,2017-06-29
2508,11858,6,2017-07-19,2017-09-08
2530,6030,6,2017-05-05,2017-07-24
2532,7076,6,2017-07-13,2017-07-29
2548,2964,6,2017-05-20,2017-11-27
2790,6088,6,2017-05-01,2017-08-30
2857,5584,6,2017-05-06,2017-07-20
2857,10322,7,2017-06-05,2017-07-17
2926,7220,9,2017-06-05,2017-09-25
2964,6591,8,2017-09-04,2017-11-27
2973,8363,8,2017-05-11,2017-07-01
3021,8120,6,2017-05-11,2017-06-28
3112,9977,6,2017-06-28,2017-07-29
3275,6053,8,2017-05-24,2017-09-01
3278,3590,6,2017-05-06,2017-09-18
3278,8775,6,2017-06-06,2017-06-25
3286,7505,6,2017-06-06,2017-06-24
3298,7007,8,2017-07-12,2017-10-06
3361,8644,6,2017-07-02,2017-08-12
3432,6053,6,2017-05-24,2017-07-18
3529,4871,6,2017-08-25,2017-11-08
3589,9282,9,2017-05-11,2017-07-23
3590,8411,7,2017-05-17,2017-06-18
3618,4451,7,2017-05-24,2017-07-24
3618,4820,6,2017-05-24,2017-07-11
3618,9700,6,2017-05-24,2017-07-11
3735,7685,8,2017-05-06,2017-09-25
3802,9069,8,2017-06-08,2017-08-01
3953,5757,6,2017-10-11,2017-12-01
4010,10083,6,2017-07-13,2017-08-07
4170,8596,8,2017-06-13,2017-08-07
4217,11007,6,2017-07-15,2017-08-09
4235,4802,6,2017-05-17,2017-07-28
4249,4850,6,2017-05-29,2017-06-24
4404,9388,6,2017-05-30,2017-08-01
4451,9645,6,2017-05-24,2017-07-11
4478,7720,6,2017-08-27,2017-11-08
4707,9441,7,2017-07-08,2017-09-03
4737,10460,6,2017-07-16,2017-09-04
4772,12940,6,2017-10-15,2017-11-17
4774,10326,7,2017-07-26,2017-10-16
4820,7898,7,2017-05-22,2017-07-11
4820,9066,7,2017-05-22,2017-07-11
4850,10389,8,2017-05-30,2017-09-23
5016,11007,8,2017-07-15,2017-09-22
5021,7825,6,2017-07-24,2017-10-25
5021,11871,7,2017-07-24,2017-11-06
5096,10716,6,2017-07-24,2017-08-29
5111,6067,6,2017-08-27,2017-11-27
5111,6857,6,2017-08-27,2017-11-27
5116,9127,6,2017-07-30,2017-09-27
5207,8735,8,2017-06-11,2017-08-06
5233,6289,6,2017-05-24,2017-08-18
5332,9252,6,2017-10-09,2017-11-14
5383,9665,6,2017-05-18,2017-08-18
5459,5669,6,2017-07-01,2017-08-18
5603,6953,6,2017-08-02,2017-09-19
5668,7810,6,2017-06-06,2017-06-24
5721,6095,6,2017-06-16,2017-09-23
5748,8684,7,2017-07-21,2017-09-10
5867,8590,9,2017-05-14,2017-11-15
5867,9993,6,2017-05-30,2017-10-23
5989,8068,6,2017-05-01,2017-05-30
6084,10465,7,2017-07-13,2017-09-09
6310,9539,6,2017-05-26,2017-07-23
6323,6535,8,2017-09-19,2017-11-21
6339,11548,6,2017-08-01,2017-09-27
6344,8420,7,2017-05-09,2017-08-09
6447,10267,6,2017-06-28,2017-08-07
6447,10576,6,2017-06-28,2017-08-07
6516,7643,6,2017-05-22,2017-10-16
6622,6668,6,2017-05-17,2017-06-20
7076,7579,6,2017-07-13,2017-07-29
7162,9766,7,2017-05-18,2017-07-07
7209,8262,6,2017-06-15,2017-07-12
7243,9069,6,2017-06-06,2017-06-24
7393,11808,6,2017-07-19,2017-09-04
7502,10576,6,2017-06-13,2017-11-23
7508,8837,6,2017-05-05,2017-07-21
7744,12841,6,2017-09-11,2017-11-08
7747,9068,6,2017-06-13,2017-07-23
7777,10227,6,2017-08-06,2017-09-08
7853,9703,7,2017-07-05,2017-11-06
8078,9366,6,2017-05-12,2017-06-04
8078,9822,6,2017-06-03,2017-08-08
8165,11275,7,2017-06-24,2017-08-18
8595,11917,6,2017-07-23,2017-09-03
8596,9068,6,2017-06-13,2017-07-23
8596,9386,6,2017-07-17,2017-08-11
8810,11211,7,2017-09-10,2017-11-27
9063,10975,8,2017-07-02,2017-09-03
9098,10325,6,2017-06-06,2017-06-24
9127,10328,7,2017-07-05,2017-08-21
9223,9267,6,2017-05-01,2017-07-12
9453,9482,7,2017-05-06,2017-07-13
9601,9649,6,2017-05-09,2017-06-22
9619,9628,6,2017-05-09,2017-06-20
9622,9628,6,2017-05-09,2017-06-20
9622,9642,6,2017-05-09,2017-06-20
9672,9677,6,2017-05-09,2017-06-22
9757,9758,6,2017-05-10,2017-07-23
9901,9928,6,2017-05-13,2017-08-21
9920,9969,6,2017-05-13,2017-07-30
9954,11243,6,2017-07-08,2017-09-09
9977,10697,6,2017-06-10,2017-09-01
10253,10267,6,2017-05-23,2017-07-23
