Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
23,4978,6,2017-05-22,2017-09-03
61,2024,6,2017-05-19,2017-07-11
75,4650,6,2017-05-22,2017-07-19
75,8406,6,2017-07-02,2017-08-12
75,11296,10,2017-06-24,2017-09-08
80,8390,6,2017-07-30,2017-12-01
80,9493,6,2017-07-21,2017-09-28
92,3503,6,2017-06-18,2017-08-19
92,4283,6,2017-05-03,2017-06-18
92,8024,6,2017-06-28,2017-09-03
92,9069,7,2017-06-08,2017-07-24
139,3889,9,2017-08-27,2017-11-17
167,3589,7,2017-06-14,2017-07-23
167,10819,6,2017-07-01,2017-07-23
174,8260,6,2017-05-19,2017-07-11
191,4034,7,2017-05-22,2017-07-11
203,4080,6,2017-06-25,2017-07-31
210,4336,6,2017-07-13,2017-09-21
210,6024,6,2017-07-13,2017-09-21
211,10368,8,2017-05-30,2017-07-22
241,7579,6,2017-07-13,2017-07-29
258,8584,6,2017-06-10,2017-07-23
258,8679,6,2017-06-26,2017-11-23
269,5416,7,2017-07-14,2017-09-24
281,2960,6,2017-05-29,2017-06-24
281,6441,7,2017-05-29,2017-10-09
288,5459,6,2017-06-24,2017-07-28
300,9634,7,2017-05-18,2017-08-14
356,7099,6,2017-09-29,2017-11-27
360,9906,6,2017-07-04,2017-09-03
363,1099,6,2017-09-07,2017-11-01
371,4823,6,2017-07-13,2017-09-01
382,4034,7,2017-05-22,2017-07-11
382,10796,6,2017-06-24,2017-08-12
392,1637,8,2017-06-15,2017-09-21
392,1715,7,2017-05-22,2017-07-11
392,4451,7,2017-05-22,2017-07-11
420,6800,6,2017-08-02,2017-09-19
428,4660,6,2017-05-16,2017-09-22
435,859,8,2017-08-02,2017-09-16
479,2065,7,2017-06-13,2017-10-17
479,9522,8,2017-06-26,2017-08-11
481,8754,6,2017-05-15,2017-11-21
482,5710,6,2017-08-28,2017-11-29
484,1637,6,2017-05-19,2017-07-11
484,2841,6,2017-05-19,2017-07-11
484,8262,6,2017-05-19,2017-07-11
486,3249,7,2017-06-13,2017-09-18
486,9049,6,2017-06-26,2017-09-18
497,2024,6,2017-05-19,2017-07-11
497,4774,6,2017-05-19,2017-07-11
544,3486,6,2017-05-23,2017-08-15
556,5669,6,2017-07-01,2017-08-18
556,7349,6,2017-07-01,2017-08-18
592,1246,6,2017-05-03,2017-07-01
613,10398,8,2017-08-30,2017-11-06
628,7191,6,2017-07-16,2017-09-08
701,8121,6,2017-05-07,2017-06-08
741,11871,6,2017-08-12,2017-11-14
760,8784,6,2017-07-24,2017-09-15
859,4483,6,2017-09-10,2017-10-28
863,1296,6,2017-05-16,2017-07-26
874,5491,6,2017-05-09,2017-11-21
926,2125,6,2017-10-11,2017-11-07
926,9505,7,2017-10-11,2017-11-21
953,2185,6,2017-08-18,2017-11-20
953,4444,6,2017-07-24,2017-09-09
996,4478,6,2017-08-27,2017-11-08
1029,3307,6,2017-08-30,2017-11-19
1030,9992,7,2017-08-13,2017-11-24
1042,2124,6,2017-05-01,2017-05-27
1064,1378,6,2017-07-13,2017-07-29
1064,4364,6,2017-07-13,2017-08-09
1064,7098,6,2017-07-13,2017-07-29
1079,1860,6,2017-05-22,2017-08-21
1079,10097,6,2017-07-21,2017-09-08
1089,4449,6,2017-05-18,2017-07-05
1099,11326,7,2017-09-07,2017-11-06
1158,2123,6,2017-05-05,2017-08-23
1164,7507,6,2017-07-02,2017-08-19
1164,8165,6,2017-07-01,2017-08-18
1183,2032,6,2017-05-03,2017-08-17
1198,5796,6,2017-07-05,2017-10-04
1208,7605,6,2017-05-06,2017-06-05
1218,11917,6,2017-07-23,2017-09-03
1246,1343,6,2017-06-24,2017-07-28
1246,2097,6,2017-06-24,2017-07-28
1337,1955,9,2017-05-05,2017-09-03
1338,5198,6,2017-05-07,2017-06-17
1338,8979,6,2017-05-07,2017-06-17
1342,9057,6,2017-06-28,2017-09-21
1343,4359,6,2017-05-20,2017-07-04
1343,6013,7,2017-07-02,2017-09-14
1413,4056,6,2017-05-01,2017-07-26
1462,6032,7,2017-06-03,2017-08-30
1464,11275,7,2017-07-02,2017-08-30
1475,3021,7,2017-07-17,2017-10-15
1505,9522,6,2017-06-10,2017-08-07
1562,2097,7,2017-07-23,2017-09-25
1573,9906,6,2017-07-05,2017-09-09
1631,1782,8,2017-05-19,2017-09-10
1637,4774,6,2017-05-19,2017-07-11
1637,6560,6,2017-05-19,2017-07-11
1641,7220,6,2017-06-18,2017-09-15
1641,10313,7,2017-05-30,2017-09-15
1673,5116,6,2017-07-30,2017-09-27
1673,9725,6,2017-05-20,2017-08-20
1678,9752,9,2017-06-24,2017-09-18
1715,5330,6,2017-05-24,2017-07-11
1715,8260,6,2017-06-15,2017-07-12
1747,11280,6,2017-07-21,2017-09-04
1772,12582,6,2017-10-22,2017-11-17
1800,7879,6,2017-05-11,2017-09-16
1822,10716,6,2017-06-24,2017-10-17
1822,10785,6,2017-06-24,2017-10-17
1860,2054,6,2017-05-22,2017-08-21
1955,6136,6,2017-06-30,2017-09-03
1966,8406,7,2017-07-02,2017-08-15
1966,11276,8,2017-07-01,2017-08-15
2012,3028,6,2017-05-19,2017-07-11
2012,5330,6,2017-06-15,2017-07-21
2024,2231,6,2017-06-15,2017-07-12
2054,9395,6,2017-07-21,2017-09-08
2065,8584,6,2017-06-26,2017-10-17
2090,3064,6,2017-05-19,2017-07-11
2112,8057,6,2017-09-24,2017-11-27
2117,2174,6,2017-07-13,2017-07-29
2117,2489,6,2017-07-13,2017-07-29
2124,6293,6,2017-05-01,2017-05-27
2125,9366,6,2017-10-11,2017-11-07
2174,7579,6,2017-07-13,2017-07-29
2185,9063,6,2017-07-23,2017-09-03
2201,3117,7,2017-07-17,2017-09-19
2201,8584,7,2017-06-26,2017-08-07
2231,2336,6,2017-05-24,2017-07-11
2231,8260,6,2017-06-15,2017-07-12
2323,8045,7,2017-05-30,2017-09-18
2336,7898,6,2017-05-24,2017-07-11
2345,3064,6,2017-05-19,2017-07-11
2354,3064,6,2017-05-19,2017-07-11
2354,6560,8,2017-05-19,2017-07-18
2354,8260,7,2017-05-19,2017-07-12
2358,10227,6,2017-08-06,2017-09-08
2378,11727,6,2017-08-17,2017-10-01
2408,8579,6,2017-08-06,2017-09-28
2437,5021,7,2017-07-09,2017-10-25
2437,9280,6,2017-05-13,2017-08-12
2468,7846,6,2017-10-17,2017-11-17
2489,4217,6,2017-07-13,2017-07-29
2489,8424,6,2017-07-13,2017-08-08
2505,7319,6,2017-05-19,2017-07-30
2532,4584,7,2017-05-16,2017-08-09
2532,5016,6,2017-07-13,2017-08-09
2544,8679,6,2017-06-13,2017-07-23
2575,4850,6,2017-05-02,2017-11-28
2588,5101,7,2017-09-01,2017-11-27
2701,3029,6,2017-05-22,2017-07-19
2701,4496,6,2017-05-22,2017-07-19
2718,9828,6,2017-07-01,2017-08-01
2841,3002,6,2017-05-19,2017-07-11
2841,8260,6,2017-05-19,2017-07-11
2856,3829,6,2017-05-19,2017-07-14
2939,4627,6,2017-05-01,2017-05-30
2960,4249,6,2017-05-29,2017-06-24
3020,5953,6,2017-06-30,2017-11-14
3021,6113,7,2017-06-26,2017-08-07
3021,9376,6,2017-05-17,2017-08-07
3041,7853,6,2017-07-30,2017-11-06
3090,8679,7,2017-06-26,2017-08-07
3112,4092,7,2017-05-22,2017-07-23
3117,8562,6,2017-07-17,2017-09-11
3117,9386,6,2017-07-13,2017-08-07
3149,3658,7,2017-06-14,2017-10-12
3153,7243,6,2017-06-06,2017-06-24
3153,10325,6,2017-06-06,2017-06-24
3177,5505,6,2017-05-17,2017-08-11
3187,4774,6,2017-05-19,2017-07-11
3226,5686,7,2017-08-01,2017-11-03
3238,8671,7,2017-08-25,2017-11-18
3243,10253,6,2017-06-22,2017-07-26
3249,5058,7,2017-05-24,2017-08-06
3275,4689,6,2017-07-13,2017-09-01
3278,3286,6,2017-06-06,2017-09-18
3298,7319,6,2017-08-14,2017-10-06
3298,12057,6,2017-08-14,2017-10-06
3299,6777,6,2017-07-19,2017-09-22
3356,5546,7,2017-06-06,2017-08-22
3356,5668,6,2017-06-06,2017-06-24
3356,10377,6,2017-06-06,2017-06-24
3416,10661,6,2017-07-17,2017-08-09
3418,6441,6,2017-05-29,2017-06-24
3420,4397,6,2017-06-16,2017-08-19
3432,5696,7,2017-07-13,2017-08-08
3432,7098,6,2017-07-13,2017-07-29
3465,9985,6,2017-05-19,2017-10-12
3466,9742,10,2017-05-18,2017-10-31
3524,11676,6,2017-09-16,2017-11-19
3528,8594,6,2017-08-17,2017-10-12
3536,6289,6,2017-05-24,2017-08-18
3573,9259,6,2017-05-13,2017-07-17
3677,5669,6,2017-07-01,2017-08-18
3755,5137,6,2017-05-01,2017-07-04
3798,8818,7,2017-05-26,2017-09-25
3837,7373,7,2017-06-13,2017-09-16
3837,8596,6,2017-06-13,2017-07-23
3913,9516,6,2017-08-08,2017-11-07
3953,12248,6,2017-10-11,2017-12-01
4021,5836,6,2017-10-11,2017-11-26
4034,9066,8,2017-05-18,2017-07-11
4056,8363,10,2017-06-25,2017-08-09
4170,7373,6,2017-06-13,2017-07-23
4170,7747,8,2017-06-13,2017-08-07
4217,4364,6,2017-07-13,2017-08-09
4235,5873,6,2017-05-27,2017-09-21
4249,8411,7,2017-05-17,2017-06-18
4275,5356,7,2017-06-03,2017-09-25
4293,9777,6,2017-06-28,2017-07-29
4293,10536,6,2017-06-28,2017-07-29
4363,7919,6,2017-07-17,2017-08-09
4404,7636,9,2017-05-20,2017-09-18
4441,6805,6,2017-05-10,2017-06-18
4451,10719,9,2017-06-24,2017-09-01
4451,10785,7,2017-06-24,2017-08-15
4468,5509,8,2017-05-06,2017-07-12
4496,8317,6,2017-08-27,2017-10-31
4514,8595,8,2017-07-03,2017-09-03
4514,11917,6,2017-07-23,2017-09-03
4516,9867,6,2017-07-19,2017-11-21
4543,9057,7,2017-07-17,2017-10-28
4632,8299,7,2017-07-12,2017-08-08
4632,10819,6,2017-07-12,2017-07-29
4689,8194,6,2017-05-24,2017-07-18
4713,6317,8,2017-07-16,2017-11-22
4715,6084,7,2017-06-25,2017-08-19
4715,8735,6,2017-06-11,2017-07-24
4774,11834,6,2017-07-12,2017-10-03
4791,9402,6,2017-09-07,2017-11-12
4816,10460,6,2017-07-16,2017-09-04
4816,11537,6,2017-09-10,2017-10-30
4820,6729,8,2017-05-22,2017-07-12
4827,9493,7,2017-07-21,2017-09-16
4827,11280,6,2017-07-21,2017-09-04
4876,10238,7,2017-08-06,2017-09-22
4881,9822,6,2017-05-29,2017-07-07
4881,10110,6,2017-05-29,2017-07-07
4917,7881,6,2017-06-16,2017-08-21
4957,6293,6,2017-09-24,2017-11-27
4957,8057,6,2017-09-24,2017-11-27
5009,7832,7,2017-08-10,2017-09-11
5093,7837,6,2017-07-08,2017-08-15
