Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
22,3926,6,2017-10-15,2017-11-22
23,7951,6,2017-07-08,2017-09-09
47,7271,6,2017-07-16,2017-10-04
61,2841,6,2017-05-19,2017-07-11
61,6560,6,2017-05-19,2017-07-11
61,10728,6,2017-06-24,2017-08-19
75,6777,8,2017-06-24,2017-08-12
92,2068,7,2017-06-08,2017-07-24
157,1266,6,2017-05-20,2017-09-16
167,1254,6,2017-07-12,2017-08-07
167,2100,6,2017-05-20,2017-07-23
167,4541,6,2017-05-25,2017-07-12
167,10806,6,2017-07-01,2017-07-23
174,2354,6,2017-05-19,2017-07-11
174,3002,7,2017-05-19,2017-10-07
174,4774,6,2017-05-19,2017-07-11
191,8262,6,2017-06-15,2017-07-12
211,281,7,2017-05-02,2017-06-18
211,10346,7,2017-05-30,2017-07-05
241,1378,6,2017-07-13,2017-07-29
258,3090,6,2017-06-10,2017-07-23
258,3223,7,2017-06-10,2017-07-26
288,1246,6,2017-06-24,2017-07-28
288,4359,6,2017-05-20,2017-07-04
288,9828,7,2017-06-24,2017-08-01
288,11275,6,2017-06-24,2017-07-28
288,11466,6,2017-07-23,2017-09-25
360,10179,6,2017-07-04,2017-09-03
371,2108,6,2017-07-13,2017-09-01
382,2336,6,2017-05-24,2017-07-11
382,4451,11,2017-05-22,2017-08-15
382,5503,6,2017-05-24,2017-07-11
382,10785,7,2017-06-24,2017-08-15
392,1822,6,2017-05-24,2017-07-11
429,2529,6,2017-06-01,2017-10-15
479,2201,8,2017-06-13,2017-08-07
479,3021,8,2017-06-26,2017-08-11
497,3064,6,2017-05-19,2017-07-11
524,1449,6,2017-09-05,2017-10-17
603,2412,6,2017-05-13,2017-08-30
628,12600,7,2017-10-31,2017-11-27
728,8424,6,2017-07-13,2017-07-30
798,3238,6,2017-09-24,2017-11-18
855,3589,7,2017-06-14,2017-07-23
870,10690,6,2017-07-24,2017-11-20
871,10837,7,2017-07-24,2017-09-17
919,10229,7,2017-09-23,2017-11-17
926,9366,7,2017-10-11,2017-11-21
942,1024,6,2017-07-03,2017-08-19
942,8010,7,2017-05-15,2017-08-18
942,8149,6,2017-05-15,2017-07-28
972,9922,6,2017-07-05,2017-10-01
993,2545,6,2017-08-25,2017-10-12
1005,2719,6,2017-05-11,2017-05-27
1041,4781,6,2017-07-26,2017-09-04
1055,4000,6,2017-05-29,2017-10-30
1064,2174,6,2017-07-13,2017-07-29
1064,7076,6,2017-07-13,2017-07-29
1074,12371,6,2017-08-29,2017-11-23
1151,8664,6,2017-10-22,2017-12-01
1208,3590,6,2017-05-06,2017-06-05
1218,1464,6,2017-07-23,2017-09-03
1218,4749,6,2017-07-08,2017-08-30
1240,2437,7,2017-07-09,2017-10-25
1240,10767,7,2017-07-24,2017-11-06
1246,9752,7,2017-06-06,2017-07-28
1254,6447,7,2017-05-01,2017-08-07
1254,9282,6,2017-07-12,2017-08-07
1254,10899,6,2017-07-12,2017-08-07
1263,11296,6,2017-07-24,2017-09-19
1340,7393,6,2017-08-10,2017-10-11
1340,7833,6,2017-05-15,2017-09-04
1343,5027,7,2017-05-12,2017-09-16
1343,8165,7,2017-05-27,2017-07-28
1343,9761,6,2017-05-20,2017-07-04
1378,8424,6,2017-07-13,2017-08-08
1383,9177,6,2017-07-21,2017-09-26
1389,5668,6,2017-06-12,2017-07-17
1389,10322,7,2017-06-05,2017-07-17
1429,7590,7,2017-07-11,2017-08-30
1429,10954,6,2017-07-11,2017-08-15
1464,3677,7,2017-07-02,2017-08-30
1464,8114,6,2017-07-02,2017-08-19
1464,11917,8,2017-07-23,2017-10-04
1475,7747,8,2017-07-17,2017-10-20
1475,8017,6,2017-06-28,2017-08-07
1562,1678,7,2017-07-23,2017-09-25
1563,2171,6,2017-08-02,2017-09-10
1563,10478,6,2017-08-08,2017-09-11
1591,1769,6,2017-09-29,2017-11-27
1617,9421,6,2017-05-29,2017-08-21
1620,9942,6,2017-07-19,2017-09-08
1637,2354,6,2017-05-19,2017-07-11
1637,3064,6,2017-05-19,2017-07-11
1637,8260,6,2017-05-19,2017-07-11
1637,8262,6,2017-05-19,2017-07-11
1651,11559,7,2017-09-11,2017-11-14
1677,4249,8,2017-05-06,2017-06-18
1677,5423,6,2017-05-06,2017-06-25
1677,5482,6,2017-05-06,2017-06-05
1678,11275,6,2017-06-24,2017-07-28
1715,4774,7,2017-06-15,2017-07-18
1715,7560,7,2017-05-22,2017-07-11
1715,9699,6,2017-05-24,2017-07-11
1733,6523,6,2017-05-13,2017-07-30
1769,3837,6,2017-06-13,2017-07-23
1769,7747,6,2017-06-13,2017-07-23
1769,8596,6,2017-06-13,2017-07-23
1772,7327,9,2017-08-07,2017-11-17
1822,2336,6,2017-05-24,2017-07-11
1822,4451,8,2017-05-24,2017-08-08
1822,7898,6,2017-05-24,2017-07-11
1822,9066,6,2017-05-24,2017-07-11
1822,9699,6,2017-05-24,2017-07-11
1849,2231,7,2017-05-22,2017-07-11
1849,2336,7,2017-05-24,2017-09-09
1858,6431,6,2017-07-05,2017-10-04
1860,5748,6,2017-07-21,2017-09-04
1860,10022,7,2017-07-21,2017-09-10
1917,10377,6,2017-06-08,2017-09-16
1927,9752,6,2017-07-01,2017-08-01
1955,9906,6,2017-07-05,2017-09-09
2012,2090,6,2017-05-19,2017-07-11
2065,7373,6,2017-06-13,2017-07-23
2068,10196,6,2017-08-06,2017-09-28
2068,10377,6,2017-06-06,2017-06-24
2090,2345,6,2017-05-19,2017-07-11
2090,8729,6,2017-05-19,2017-07-11
2097,5055,6,2017-07-02,2017-08-06
2097,8165,6,2017-06-24,2017-07-28
2097,9063,7,2017-05-22,2017-07-28
2108,4823,7,2017-07-13,2017-09-21
2117,2532,6,2017-07-13,2017-07-29
2171,11285,6,2017-08-02,2017-09-10
2174,5696,6,2017-07-13,2017-07-29
2201,9522,7,2017-06-26,2017-08-07
2201,10833,6,2017-07-17,2017-09-11
2231,4034,7,2017-05-22,2017-07-11
2231,4820,8,2017-05-22,2017-07-12
2231,8729,6,2017-06-15,2017-07-12
2234,4274,6,2017-05-24,2017-07-21
2336,4202,8,2017-05-24,2017-09-14
2345,2354,7,2017-05-19,2017-07-12
2345,4774,7,2017-05-19,2017-07-12
2378,4854,6,2017-08-17,2017-10-01
2437,4070,6,2017-07-24,2017-10-25
2437,7825,7,2017-07-24,2017-10-27
2476,8784,6,2017-05-22,2017-08-10
2476,10596,6,2017-07-24,2017-09-04
2479,4580,6,2017-07-13,2017-10-25
2489,7076,7,2017-07-13,2017-08-08
2518,3608,6,2017-06-13,2017-09-20
2532,4217,7,2017-07-13,2017-08-09
2544,3223,6,2017-06-26,2017-07-26
2545,3665,6,2017-08-25,2017-10-12
2605,6666,7,2017-10-02,2017-11-24
2626,8980,6,2017-07-23,2017-10-23
2684,4613,6,2017-06-13,2017-09-01
2702,10757,6,2017-09-05,2017-11-18
2755,7403,6,2017-05-26,2017-07-04
2841,8729,6,2017-05-19,2017-07-11
2857,4249,7,2017-05-06,2017-06-24
2869,7007,6,2017-07-12,2017-09-28
2886,2939,7,2017-05-01,2017-06-05
2886,5490,7,2017-05-01,2017-06-05
2910,7064,7,2017-06-26,2017-11-23
2926,3418,7,2017-05-06,2017-06-24
2939,6447,7,2017-05-01,2017-06-05
2960,6441,6,2017-05-29,2017-06-24
2964,6857,6,2017-05-01,2017-11-27
2973,3278,7,2017-06-06,2017-07-01
3002,8729,6,2017-05-19,2017-07-11
3012,9443,6,2017-05-29,2017-10-25
3021,3078,6,2017-06-10,2017-07-23
3021,9386,6,2017-07-17,2017-08-11
3028,4774,6,2017-05-19,2017-07-11
