Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
61,497,6,2017-05-19,2017-07-11
61,1637,6,2017-05-19,2017-07-11
61,3002,6,2017-05-19,2017-07-11
61,3064,6,2017-05-19,2017-07-11
75,3029,6,2017-05-22,2017-07-19
92,1917,7,2017-05-03,2017-06-24
92,7810,7,2017-06-08,2017-07-24
137,9247,6,2017-09-21,2017-12-01
148,497,6,2017-05-19,2017-07-11
148,2841,6,2017-05-19,2017-07-11
148,3002,6,2017-05-19,2017-07-11
167,9282,9,2017-06-14,2017-08-07
167,10900,6,2017-07-01,2017-07-23
182,8260,6,2017-05-19,2017-07-24
191,8260,6,2017-06-15,2017-07-12
191,9645,7,2017-05-24,2017-07-12
211,1677,8,2017-05-29,2017-07-05
241,2174,6,2017-07-13,2017-07-29
241,2532,6,2017-07-13,2017-07-29
241,7098,6,2017-07-13,2017-07-29
269,4955,6,2017-06-17,2017-08-01
281,3418,6,2017-05-29,2017-06-24
281,6447,6,2017-05-29,2017-06-24
382,9066,7,2017-05-22,2017-07-11
382,10714,7,2017-06-24,2017-08-15
382,10719,7,2017-06-24,2017-08-15
391,9954,7,2017-07-08,2017-09-15
392,5330,7,2017-05-24,2017-07-21
398,9057,6,2017-05-02,2017-09-21
446,926,7,2017-10-11,2017-11-21
479,7373,6,2017-06-13,2017-07-23
479,8679,9,2017-06-13,2017-08-11
486,6289,6,2017-06-13,2017-10-08
497,3187,6,2017-05-19,2017-07-11
517,10757,7,2017-08-18,2017-11-18
613,8348,6,2017-06-16,2017-11-06
620,8406,6,2017-07-02,2017-08-12
624,9532,6,2017-05-19,2017-10-12
662,3573,6,2017-05-13,2017-07-17
701,4178,6,2017-05-07,2017-06-08
736,2489,6,2017-07-13,2017-07-29
736,3432,6,2017-07-13,2017-07-29
741,1829,6,2017-08-12,2017-11-14
782,8838,6,2017-05-13,2017-11-16
798,8671,6,2017-09-24,2017-11-18
821,5866,6,2017-05-20,2017-08-22
855,1505,6,2017-07-17,2017-11-16
855,10806,6,2017-07-01,2017-07-23
859,7832,6,2017-08-29,2017-09-16
917,6519,6,2017-06-26,2017-11-16
921,3846,6,2017-07-11,2017-09-16
942,4514,6,2017-07-03,2017-08-19
942,5459,7,2017-07-23,2017-10-20
942,9441,6,2017-07-03,2017-08-19
1024,2185,6,2017-07-03,2017-08-19
1041,2174,6,2017-07-13,2017-07-29
1041,2532,6,2017-07-13,2017-07-29
1041,7076,7,2017-07-13,2017-08-08
1041,8424,6,2017-07-13,2017-08-08
1064,2489,6,2017-07-13,2017-07-29
1064,5696,6,2017-07-13,2017-07-29
1138,4010,6,2017-07-13,2017-08-07
1164,7349,6,2017-07-01,2017-08-18
1164,10975,6,2017-07-02,2017-08-19
1218,2185,7,2017-07-08,2017-09-03
1225,11812,6,2017-09-28,2017-11-12
1240,11871,7,2017-07-24,2017-11-06
1246,7349,7,2017-07-01,2017-09-21
1246,8165,7,2017-06-24,2017-08-18
1289,5101,7,2017-06-19,2017-09-21
1296,4584,6,2017-05-16,2017-07-26
1321,9057,6,2017-06-28,2017-09-21
1340,2678,6,2017-05-15,2017-08-17
1343,2124,6,2017-05-01,2017-05-27
1343,5459,6,2017-06-24,2017-07-28
1343,6293,6,2017-05-01,2017-05-27
1378,7098,6,2017-07-13,2017-07-29
1411,10722,6,2017-07-14,2017-09-10
1464,7507,7,2017-07-02,2017-08-30
1470,4272,6,2017-08-24,2017-11-19
1475,6529,6,2017-06-28,2017-08-07
1475,9522,8,2017-07-17,2017-10-20
1563,9600,6,2017-08-29,2017-09-21
1563,9862,6,2017-08-29,2017-09-21
1563,11285,6,2017-08-02,2017-09-10
1573,9324,6,2017-06-30,2017-09-03
1613,5668,7,2017-05-01,2017-06-11
1620,11858,6,2017-07-19,2017-09-08
1624,2975,7,2017-05-01,2017-11-22
1637,5330,6,2017-06-15,2017-07-21
1673,1860,6,2017-07-21,2017-09-04
1673,8545,6,2017-05-13,2017-09-27
1677,3418,8,2017-05-06,2017-06-18
1677,5789,6,2017-05-06,2017-06-05
1678,10758,7,2017-07-23,2017-09-25
1715,7209,9,2017-05-22,2017-07-18
1747,9331,6,2017-05-12,2017-08-21
1747,10095,7,2017-07-21,2017-09-10
1762,7809,6,2017-07-13,2017-09-21
1767,8558,6,2017-05-13,2017-06-14
1769,5533,7,2017-06-13,2017-08-22
1801,4782,6,2017-08-10,2017-11-14
1860,8368,6,2017-07-30,2017-09-10
1860,10024,6,2017-07-21,2017-09-04
1966,5096,7,2017-07-19,2017-08-29
1966,10716,6,2017-07-24,2017-08-29
2012,8260,6,2017-05-19,2017-07-11
2024,3064,6,2017-05-19,2017-07-11
2068,9410,6,2017-06-08,2017-10-22
2108,4689,7,2017-07-13,2017-09-21
2112,2548,6,2017-09-24,2017-11-27
2124,4171,6,2017-05-01,2017-05-27
2185,5002,6,2017-08-18,2017-11-20
