Passenger 1 ID,Passenger 2 ID,Number of flights together
106,119,4
129,172,4
244,295,5
308,366,5
377,388,4
366,378,5
525,544,5
704,774,5
704,730,6
706,731,5
758,759,5
743,799,6
747,771,5
721,762,5
781,799,5
719,761,5
761,793,5
813,839,4
935,989,4
1019,1098,4
1001,1029,6
366,1095,7
381,1072,4
376,1021,5
1313,1321,5
1330,1387,5
716,734,5
315,1002,4
313,1072,4
362,1031,5
1234,1238,4
739,1056,6
706,1056,4
750,1073,4
751,1057,4
1734,1747,4
1738,1789,4
1864,1878,4
1916,1990,4
1902,1967,4
2115,2154,4
2120,2155,4
2120,2179,4
2162,2165,4
2165,2188,4
2148,2154,4
2145,2154,4
2110,2140,4
2261,2291,5
2206,2260,4
2222,2255,7
2207,2234,4
2322,2370,4
2492,2500,4
2451,2485,4
172,2001,5
2514,2568,4
2527,2538,4
2641,2664,4
2951,2985,4
2911,2972,8
398,401,4
3182,3195,5
3162,3192,4
3167,3188,5
3225,3286,5
3332,3396,4
274,3117,4
212,658,4
1576,2608,4
3560,3588,4
3567,3586,5
3536,3586,4
652,2137,6
3672,3691,5
3611,3682,4
3603,3675,5
3911,3959,4
3904,3978,5
3939,3968,4
3942,3995,4
4042,4052,8
272,3114,4
263,3159,5
578,1886,5
586,1162,4
1423,1890,4
1442,1891,5
1498,1865,4
4105,4135,4
215,2563,4
1645,2539,4
1288,2064,5
391,2848,5
459,2064,4
4206,4218,4
4274,4297,4
4201,4251,4
4210,4218,5
696,752,5
1240,1654,5
4324,4345,4
4364,4373,7
4339,4373,7
915,1394,4
928,1371,10
490,1561,4
2531,2667,5
2284,3515,4
4407,4418,5
4464,4465,4
2441,3624,4
2427,3671,4
4075,4332,4
4010,4384,4
2786,3015,4
1818,2717,7
1288,2912,4
2626,4130,4
1058,1803,4
1971,3286,4
2465,3653,4
2004,2446,4
2789,4059,5
4911,4980,5
4972,4988,4
409,1509,4
5118,5183,4
5278,5279,4
2484,3516,4
3517,3668,4
2325,3536,4
941,2221,5
2924,3678,4
130,3571,5
1384,2951,4
126,2935,4
1398,2212,4
5410,5484,4
5401,5436,6
5412,5458,7
5443,5498,6
5443,5459,4
5426,5481,4
5440,5477,4
5432,5443,4
5432,5436,7
5406,5440,4
1263,3839,5
1801,5053,4
5638,5640,4
2759,5490,5
4016,5408,5
1818,5446,4
1696,5486,4
774,2477,5
811,4319,4
2988,4169,4
993,4106,4
4522,4678,4
4678,5310,4
4678,5370,4
5092,5370,5
5772,5800,5
5774,5798,4
5705,5780,4
5707,5736,5
5707,5772,5
5702,5788,4
5701,5726,5
5701,5719,4
5733,5797,4
5854,5876,5
4682,4946,5
3247,3336,5
624,3493,4
5941,5991,5
5964,5989,4
5936,5968,4
6050,6053,6
5773,5976,4
1375,5797,4
4199,4761,4
4990,5443,6
5491,6001,6
3920,4430,4
3920,5422,4
1692,3404,4
1692,3861,4
3404,3572,4
3940,4554,5
3492,3920,4
1548,5460,4
2509,3991,4
4988,5434,4
1572,5467,5
1202,2817,5
391,4300,4
5025,6092,4
3670,4552,4
7028,7088,5
7167,7198,4
7556,7560,4
5740,5942,4
1797,7597,4
7711,7772,6
7793,7800,4
7719,7779,5
2586,4827,4
4481,5734,5
5731,5979,4
324,5977,5
5761,6469,5
3668,5885,4
53,5865,4
380,5307,4
1034,4814,4
8215,8258,5
8290,8299,6
8257,8287,4
2453,7141,4
3849,7563,4
1329,7820,5
4761,7634,4
224,334,4
2758,2910,4
896,4932,5
2323,2504,4
1817,6047,4
1817,6049,4
1619,6064,4
4674,6854,8
5761,6075,4
6096,6897,4
3576,6889,5
3120,6069,4
6039,6893,4
5720,6844,4
5788,6077,4
5788,6016,4
6047,6869,4
6047,6408,4
4969,6827,4
2759,5966,4
2759,6848,5
2937,6084,4
5737,6805,4
2780,6986,5
5707,7191,4
7192,7430,5
735,5378,4
423,853,4
423,2645,4
3169,5411,4
3898,8190,4
95,8158,6
95,4468,6
8963,9000,6
8973,8984,4
8904,8993,5
4734,6951,5
853,3849,4
2857,8353,5
95,8209,6
4427,6831,5
1183,4717,6
2642,3115,4
1119,3106,4
1119,4492,4
165,4113,4
551,2642,4
5620,6396,5
1669,6345,4
6365,6507,6
9026,9051,4
9068,9089,4
9040,9072,4
4255,8105,4
1317,8604,4
917,5645,5
7111,8519,4
8383,8733,5
3093,6750,4
3503,6703,4
3278,5505,4
9245,9255,4
9240,9249,4
5766,8461,4
1613,6876,4
340,8146,4
3665,9007,4
6345,6882,5
9327,9368,4
1430,3650,5
4514,8843,5
9508,9600,4
2018,4719,4
3975,4142,4
3180,4398,5
2732,8146,4
5481,8474,4
9620,9683,4
9634,9684,5
816,3468,4
1078,5544,5
2443,8228,4
8589,9258,5
3589,8887,5
3703,6293,6
8005,8572,4
262,8895,5
6777,8518,4
8810,9279,4
9920,9970,4
2719,9902,4
797,6127,4
481,6523,5
3718,5109,5
419,4034,4
6668,8983,6
5411,8093,5
5683,9649,4
1982,9610,4
1982,9624,4
7131,9664,5
1089,9677,4
5198,7879,4
5137,9050,5
1177,1631,6
6512,10082,4
3220,8078,4
3220,10046,4
5043,9366,4
382,8884,4
2231,9014,4
1715,6622,4
627,8390,4
7735,8981,4
10265,10266,4
3249,8614,5
2996,8427,5
3196,9704,4
10353,10373,5
10335,10372,4
10394,10396,5
10389,10394,6
10352,10377,5
53,6831,4
53,7403,4
5232,9808,4
7153,9540,5
2062,10085,4
1493,9958,4
1677,10346,8
3418,10373,5
3418,10346,4
4249,10396,5
10414,10416,5
10431,10496,4
10401,10494,4
10425,10461,4
2755,8591,4
8078,9453,4
2441,6694,4
3968,9687,4
2611,3850,4
3147,4438,4
1078,7799,4
2926,10389,4
1160,9798,4
3153,7896,4
7896,10325,4
7243,10368,5
8381,9030,4
92,10107,5
1917,2482,4
745,2728,4
3741,6813,4
5905,8171,4
2201,7747,8
7162,9212,4
3627,9252,4
174,4202,5
2841,4202,5
484,6729,5
1822,3187,5
10760,10776,4
10756,10788,5
10714,10742,4
10771,10774,4
10706,10709,4
10709,10720,4
10705,10710,4
4397,9688,4
10869,10871,5
10819,10832,4
10967,10988,6
11046,11073,6
11124,11139,4
