Passenger 1 ID,Passenger 2 ID,Number of flights together
139,165,6
130,135,4
244,290,4
212,272,4
234,294,4
313,362,5
505,568,4
706,761,6
762,772,6
764,799,5
768,785,5
755,773,7
831,896,5
822,844,5
803,853,5
921,986,4
965,999,4
1007,1038,9
385,1056,4
1240,1273,4
905,993,7
1002,1073,8
1016,1096,4
309,1045,4
362,1021,4
382,750,4
378,795,5
354,797,5
773,1029,6
772,1095,7
1558,1562,4
1635,1656,4
1830,1884,4
1830,1891,5
1905,1914,6
2180,2194,4
2135,2168,4
2265,2283,5
2278,2298,5
2334,2335,6
2332,2345,4
2440,2481,4
2413,2462,5
2457,2480,4
2467,2498,7
169,2051,4
141,2334,6
2542,2559,4
2924,2935,4
3182,3198,5
3364,3382,4
622,3123,4
3447,3477,4
3446,3479,6
694,3119,5
3644,3685,4
3639,3675,6
3604,3615,5
740,3490,4
3941,3974,4
3945,3990,4
3906,3978,5
4051,4090,4
4069,4083,5
4010,4034,6
2152,3114,4
641,3155,5
611,2571,4
215,1645,4
684,2567,4
274,2510,4
2231,3594,4
4260,4281,4
4203,4271,4
3193,3483,5
606,1297,4
4330,4394,4
932,1353,4
1369,2941,4
933,2941,4
1370,2939,4
248,1287,4
2667,3104,5
369,3180,4
801,3791,4
848,3702,4
4411,4452,4
126,3635,5
172,2460,4
4564,4590,4
4010,4336,5
4609,4640,4
4671,4674,5
4617,4671,4
1248,1696,4
204,2867,4
199,2720,5
58,1616,4
1432,1666,4
1818,2783,11
1082,1315,4
928,2867,9
1837,2988,5
2743,2911,5
1787,4143,4
1918,4038,4
4765,4772,4
190,2432,4
1853,4632,5
928,4042,7
2969,4011,5
1482,4025,5
4814,4845,5
2244,4478,4
2655,3524,4
465,2243,4
1428,1824,4
5053,5055,6
5125,5144,4
3585,3661,4
2458,3571,4
984,3698,4
2904,3567,4
977,3639,4
3536,3635,4
972,3645,4
2223,3648,4
135,3587,4
383,3115,4
5446,5495,4
5439,5463,4
5471,5476,4
5436,5466,6
5436,5477,4
5401,5429,6
5431,5484,4
5432,5471,6
5404,5429,7
5402,5471,4
5509,5584,7
5526,5596,4
910,4032,4
2905,4071,4
5681,5684,6
5604,5691,5
1666,5421,5
3644,3752,6
3343,3685,4
2043,3666,6
2712,2972,4
4208,5370,4
5772,5775,5
5758,5772,5
5716,5782,4
5734,5735,4
5708,5760,4
5708,5775,6
5705,5733,7
5740,5759,4
5768,5795,4
700,2229,4
2544,5455,5
1498,4980,4
4674,4990,8
446,4980,4
4682,4969,4
1662,4914,6
1046,4593,5
1545,2068,4
3415,3919,4
338,3947,4
2224,3919,4
5926,5992,5
5925,5958,4
1943,2131,4
