Passenger 1 ID,Passenger 2 ID,Number of flights together
232,248,4
218,272,5
429,438,4
512,568,4
578,588,5
628,679,4
770,800,4
743,761,5
792,793,5
791,793,5
755,762,6
876,891,4
847,897,4
912,920,5
1032,1056,4
1035,1044,5
1026,1095,5
1146,1173,4
1219,1258,5
1252,1274,4
1303,1393,4
1365,1396,4
1414,1443,4
702,777,4
807,896,4
1310,1322,6
331,1300,4
382,727,4
309,749,4
781,1021,5
362,752,4
763,1095,9
1827,1877,4
1855,1897,4
1942,1961,5
1916,1960,4
1969,1993,4
1940,1994,5
1933,1956,4
1975,1976,4
2130,2181,6
2105,2183,5
2114,2134,4
2114,2163,4
2277,2298,4
2236,2293,6
2249,2263,4
2413,2460,4
2410,2464,4
2441,2484,4
2426,2463,4
2924,2996,4
2937,2966,4
492,1245,4
3201,3287,4
3443,3445,4
3402,3414,6
3411,3475,4
1247,2674,4
3567,3569,6
3517,3525,6
2168,3128,4
3655,3661,7
772,3483,4
3831,3839,4
3913,3974,5
3963,3991,6
4068,4082,4
4002,4025,4
4009,4035,4
4016,4045,4
218,3151,4
679,3193,4
1476,2710,5
1808,2781,4
2586,3123,4
205,2563,4
299,1645,4
684,2521,4
490,2586,4
274,2560,4
184,2886,4
4249,4297,4
4274,4291,5
4230,4282,4
4212,4295,6
4241,4270,4
2105,3476,5
456,3039,4
4340,4359,5
4358,4386,4
1367,2959,4
1247,2563,7
1269,2570,4
2600,3924,4
4417,4451,5
4427,4497,4
4453,4496,6
2334,3679,5
2405,3679,5
130,2458,5
2001,3662,4
2437,3681,4
2597,3107,4
3858,4556,4
4621,4691,4
4646,4647,6
1248,1482,4
1034,2760,7
1611,2879,4
2511,2789,7
437,1323,4
446,4674,6
2026,3634,5
2026,3643,5
165,2440,4
119,2446,5
2457,3653,4
1884,4614,5
1427,4700,4
928,4399,7
1314,4353,6
1337,4364,5
2959,4052,5
1482,4080,5
4880,4883,4
4813,4880,6
4977,4998,5
4921,4953,5
1533,3968,5
5026,5076,6
5054,5084,4
5119,5152,5
2460,3520,4
2441,2965,4
2273,3681,5
988,1358,4
130,977,5
1313,3578,5
2400,2942,4
3702,5119,4
758,3455,5
5483,5491,4
5435,5478,4
5401,5463,4
5401,5494,4
5412,5451,4
5451,5496,5
5438,5490,4
5426,5463,5
5419,5478,4
3184,4178,4
3329,5126,4
4171,5191,5
5667,5699,4
1482,5496,4
4059,5410,4
2789,5466,5
3716,4319,4
1984,5156,4
4219,5333,4
229,4245,4
4223,5026,4
4245,4522,4
5746,5768,5
5746,5757,4
5709,5720,4
5706,5779,4
5817,5881,4
3581,4408,4
1572,4430,7
399,752,5
2068,3415,4
2068,2635,4
1528,2565,4
5927,5997,5
5972,5991,5
5905,5991,5
5910,5951,5
2111,3250,4
3259,4315,5
4391,5885,4
6049,6069,7
1938,3106,4
5443,6047,6
5426,6088,6
142,614,4
3937,4069,4
1046,3963,4
3404,4988,4
2544,3991,6
3572,5450,4
1444,4646,4
1548,4609,4
1572,6027,4
2596,4988,5
4632,5455,4
6829,6898,5
6824,6884,6
6878,6889,5
2403,4647,4
4647,4914,4
1538,2848,4
5025,5455,4
3670,4646,4
7075,7096,4
3266,4546,4
7424,7454,4
1608,5934,6
1774,7543,6
798,2035,4
3802,5644,7
3512,4294,4
1208,5989,6
7770,7785,4
4481,5964,5
935,5795,4
5769,6008,5
1182,4072,6
7995,7997,4
53,5310,6
8042,8078,5
5755,6823,4
8336,8384,5
7798,8328,4
7741,8375,4
3153,4152,4
2926,7866,7
8525,8553,4
1244,6418,7
1267,4613,5
1158,2272,4
2692,5100,4
439,1955,4
782,6530,4
888,2162,4
2143,2401,6
6052,8093,5
3385,4034,4
2556,4278,5
324,6827,4
6408,6854,4
2734,6047,4
2734,5481,4
950,6829,4
6001,6814,5
6001,6872,4
5440,6853,4
5440,6829,4
5966,6839,4
3544,6880,4
6008,6839,4
4607,6469,5
6017,6836,4
3120,3544,5
184,6853,4
6469,6889,4
6049,6870,4
6049,6827,4
1865,5706,4
5734,6885,4
5771,6893,4
2759,6885,4
910,4435,4
4221,7410,4
22,7430,4
5997,7192,4
6950,7442,4
3896,4932,4
4497,5442,5
1677,7662,8
1230,7629,4
95,7662,7
8956,8979,6
8920,9000,5
8904,8935,4
7110,7433,4
3844,4270,5
467,4178,5
95,3278,5
901,7039,5
2906,7872,6
2926,8190,6
3503,7685,5
8110,8684,4
1246,4769,5
239,1531,5
9006,9097,4
9096,9098,4
9136,9177,4
2534,8596,4
3547,8593,4
3052,7549,4
5095,5222,4
870,3330,4
6745,8158,5
3503,6750,4
1940,8353,4
1646,6703,4
6372,9077,4
5549,5777,4
1613,4700,4
5755,7558,4
7810,8288,4
468,6930,4
9330,9373,5
9331,9395,7
9418,9498,6
9568,9586,4
9505,9516,6
6089,8048,4
572,815,4
1824,4795,4
2443,9258,4
2443,9267,4
3511,9283,4
6694,6831,5
4389,9394,4
2586,8509,4
2323,4502,5
8994,9091,5
3020,7134,4
6441,7243,4
6418,6813,4
5652,9693,5
300,4329,5
5383,5572,5
5383,9642,4
6776,9649,4
1089,5383,4
4541,9753,4
9704,9999,4
7879,8979,4
2063,7319,4
1637,2024,7
1201,2080,4
10117,10162,5
4978,9063,4
1045,9755,4
2967,9014,5
382,4202,6
1849,5503,6
6896,7996,4
2201,3249,4
3536,6878,4
3249,8197,5
7996,8427,4
10346,10394,5
10315,10384,5
10310,10316,4
10352,10371,6
4293,9539,4
1994,9574,4
6769,10145,4
7526,9362,4
5571,7532,6
10483,10485,5
10415,10482,4
10409,10449,7
10456,10482,4
10452,10453,4
10465,10488,4
3147,9409,4
1389,10371,5
10515,10564,4
1419,9994,5
4552,8775,5
6588,7122,4
8557,8895,5
525,8735,5
3528,8397,4
5533,7747,7
2231,8262,6
2231,3002,5
2967,3754,4
392,3187,5
10731,10772,4
10714,10771,4
10741,10796,4
10770,10776,4
10744,10751,4
10712,10764,4
10705,10791,4
10780,10798,4
613,3850,5
10809,10827,4
10987,10988,4
6089,10371,6
11118,11153,4
11111,11139,4
11103,11165,4
11142,11191,4
11142,11151,4
11115,11199,4
11122,11128,4
11121,11142,4
11120,11150,4
11153,11200,4
11114,11150,4
11136,11188,4
11156,11164,4
11216,11221,4
5957,6777,4
8260,10770,4
4056,8735,4
2856,11137,4
3817,11194,4
3112,9777,7
6529,9977,4
1927,5459,5
3589,10806,6
5459,8445,4
1164,8004,5
2718,6013,5
6013,10975,4
7801,8040,6
7737,8149,4
2221,7463,5
11703,11734,4
2076,7014,4
6338,8351,4
8256,9906,4
5769,9773,4
2976,7682,4
5882,7002,4
7327,10954,7
4397,7319,4
736,6522,4
1138,1296,4
8266,8912,4
400,6522,4
2108,4728,4
5031,8266,4
4623,7515,4
6522,11201,4
335,5653,4
47,7910,5
5162,5653,4
5533,10350,5
1254,3090,5
4895,7653,5
4778,7138,4
8406,11948,5
4827,9369,5
9127,10089,6
1860,10015,6
1860,8684,6
7881,10097,5
3867,11400,4
1747,9127,6
5748,10024,7
2518,9791,5
9441,11917,8
556,4749,4
8004,11954,4
5380,5850,4
1782,3519,4
10767,11803,4
5093,11876,4
1966,10203,6
8574,10716,4
10310,11874,4
1911,9544,6
1534,9930,4
5895,7266,4
2458,10097,4
5653,5748,4
5748,7902,4
2076,3955,4
6036,10453,4
1020,2811,4
5072,10525,5
7192,11599,4
9957,10344,4
7444,8521,5
6929,10382,5
7243,9376,4
3309,10478,4
1555,1681,4
1032,10203,4
2412,4031,4
8988,11014,4
7007,11332,4
11014,11267,4
7654,11171,4
7862,11534,4
2378,10989,6
12532,12542,4
12526,12569,5
4514,6823,4
8024,11243,4
9988,10975,4
6084,11633,4
2964,10526,4
1134,3855,4
2212,10945,4
1266,7626,4
11844,11962,4
5009,11285,4
859,10130,5
4903,10130,4
435,9600,5
5325,9063,4
1598,8297,4
163,3292,4
5538,12362,4
5643,12111,4
7955,11649,4
2272,5551,4
12844,12883,5
407,8025,4
11537,12351,4
3030,11126,4
6900,12436,4
1333,8988,4
3755,7667,4
5060,9156,4
10365,12385,4
2112,10605,4
2214,12273,4
13402,13494,4
996,2258,4
2258,7720,4
13644,13669,6
4940,6146,4
2857,11572,5
5710,10184,4
1225,9420,4
4335,7877,4
11742,13105,4
1981,4410,4
13819,13839,4
3619,11701,4
6993,13636,5
1033,3615,6
5240,11871,5
2549,11593,4
3910,9649,4
4711,10908,6
1539,10229,6
1739,6687,4
12298,13941,5
2778,10802,5
3405,8258,4
3405,13251,5
3078,4037,4
14056,14057,4
12841,13731,6
2512,8621,4
5355,9649,4
4875,13620,4
4136,13848,4
1709,12947,4
517,798,5
5111,13272,4
5212,8057,7
1769,7060,5
1769,13571,5
6981,14008,4
1826,8196,4
2069,9994,4
3319,9974,4
356,2106,4
1591,3319,4
6857,10205,4
7661,8552,4
5634,10938,4
2467,8175,4
1359,8434,4
12862,14070,4
14703,14747,4
14701,14727,4
14769,14779,4
14752,14778,4
14725,14763,4
14727,14779,4
14759,14795,4
15115,15121,4
11353,15186,4
8359,11282,4
248,254,4
256,266,4
212,248,5
341,371,4
352,383,7
560,567,4
610,624,5
648,694,4
733,752,11
758,764,5
730,768,8
709,733,6
701,747,5
805,849,4
832,862,4
849,850,4
891,897,4
1038,1044,7
1252,1290,4
324,1053,5
392,1095,5
315,799,4
768,1095,4
360,733,4
362,709,5
1537,1547,4
1569,1587,5
1714,1740,4
736,1041,7
1963,1996,4
2072,2075,7
2131,2179,4
2115,2145,4
2111,2187,4
2165,2179,4
2119,2129,4
2137,2154,4
2114,2158,4
2145,2168,4
2169,2182,4
2141,2168,4
2271,2281,4
2209,2231,5
2203,2271,4
2205,2240,5
2425,2492,4
2464,2484,5
56,2051,4
2531,2563,5
2518,2592,4
2611,2695,5
2734,2759,6
2937,2975,7
3151,3182,5
3116,3141,5
3233,3242,4
3380,3385,4
255,681,5
211,3169,5
271,3149,6
293,684,6
3413,3483,5
3410,3444,5
3461,3477,5
3582,3600,4
3540,3547,5
3524,3600,5
3512,3515,4
3634,3653,5
1056,3411,5
3750,3758,4
3907,3964,4
4029,4063,5
4025,4066,7
4017,4044,7
4002,4037,4
628,3155,5
205,1300,4
490,2573,4
432,1677,4
1569,3955,4
2668,3988,6
2242,3553,4
2298,3548,4
167,435,4
167,2886,4
4249,4261,5
244,3471,4
374,2106,5
2153,3475,4
4362,4371,5
4331,4396,5
